"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","2","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Wed Jul 10 13:04:19 GMT 2024","Wed Jul 10 13:04:19 GMT 2024","202","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову eth выдает результат с текстом Ether",""
"passed","Wed Jul 10 13:06:07 GMT 2024","Wed Jul 10 13:06:09 GMT 2024","1494","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [2] EN",""
"broken","Wed Jul 10 13:04:18 GMT 2024","Wed Jul 10 13:04:18 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"broken","Wed Jul 10 13:04:20 GMT 2024","Wed Jul 10 13:04:20 GMT 2024","200","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову XSTUSD выдает результат с текстом SORA Synthetic USD",""
"failed","Wed Jul 10 13:05:49 GMT 2024","Wed Jul 10 13:06:03 GMT 2024","14176","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","guthubTest","guthubTest()",""
"broken","Wed Jul 10 13:04:17 GMT 2024","Wed Jul 10 13:04:17 GMT 2024","209","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе JUnit 5",""
"broken","Wed Jul 10 13:04:16 GMT 2024","Wed Jul 10 13:04:16 GMT 2024","214","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","215","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Wed Jul 10 13:05:02 GMT 2024","Wed Jul 10 13:05:19 GMT 2024","17141","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"passed","Wed Jul 10 13:06:26 GMT 2024","Wed Jul 10 13:06:31 GMT 2024","5012","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
"broken","Wed Jul 10 13:04:16 GMT 2024","Wed Jul 10 13:04:17 GMT 2024","211","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"broken","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:16 GMT 2024","209","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Wed Jul 10 13:04:43 GMT 2024","Wed Jul 10 13:05:02 GMT 2024","18381","","com.qaguru.tests.RegistrationPageObjectsWithAllureTests","","com.qaguru.tests.RegistrationPageObjectsWithAllureTests","successTest","Проверить, что после отправки формы данные отображаются верно",""
"passed","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","2","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя31",""
"broken","Wed Jul 10 13:04:19 GMT 2024","Wed Jul 10 13:04:19 GMT 2024","209","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову val выдает результат с текстом SORA Validator Token",""
"broken","Wed Jul 10 13:04:16 GMT 2024","Wed Jul 10 13:04:16 GMT 2024","205","","com.qaguru.allure.hw.IssuesLambdaStepsTest","","com.qaguru.allure.hw.IssuesLambdaStepsTest","testLambdaStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Wed Jul 10 13:04:18 GMT 2024","Wed Jul 10 13:04:19 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Armenian текст заголовка - Նշաններ",""
"broken","Wed Jul 10 13:04:16 GMT 2024","Wed Jul 10 13:04:16 GMT 2024","212","","com.qaguru.allure.hw.IssuesSelenideTest","","com.qaguru.allure.hw.IssuesSelenideTest","testIssueSearch","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Wed Jul 10 13:04:16 GMT 2024","Wed Jul 10 13:04:16 GMT 2024","207","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchPhotoResultsShouldNotBeEmpty","Не пустой список фото в поисковом запросе 'selenide'",""
"broken","Wed Jul 10 13:04:18 GMT 2024","Wed Jul 10 13:04:18 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен xor",""
"passed","Wed Jul 10 13:05:34 GMT 2024","Wed Jul 10 13:05:49 GMT 2024","14948","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
"passed","Wed Jul 10 13:06:31 GMT 2024","Wed Jul 10 13:06:36 GMT 2024","5000","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"broken","Wed Jul 10 13:04:19 GMT 2024","Wed Jul 10 13:04:20 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову pswap выдает результат с текстом Polkaswap",""
"broken","Wed Jul 10 13:04:18 GMT 2024","Wed Jul 10 13:04:18 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке English текст заголовка - Tokens",""
"broken","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","205","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"broken","Wed Jul 10 13:04:19 GMT 2024","Wed Jul 10 13:04:19 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"passed","Wed Jul 10 13:04:11 GMT 2024","Wed Jul 10 13:04:11 GMT 2024","44","","com.example.DemoJUitTest","","com.example.DemoJUitTest","SecondTest","SecondTest()",""
"passed","Wed Jul 10 13:04:11 GMT 2024","Wed Jul 10 13:04:11 GMT 2024","5","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"broken","Wed Jul 10 13:04:19 GMT 2024","Wed Jul 10 13:04:19 GMT 2024","201","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"passed","Wed Jul 10 13:05:19 GMT 2024","Wed Jul 10 13:05:34 GMT 2024","14858","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"broken","Wed Jul 10 13:04:15 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","240","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Wed Jul 10 13:04:20 GMT 2024","Wed Jul 10 13:04:43 GMT 2024","23365","","com.qaguru.tests.RegistrationPageObjectsTests","","com.qaguru.tests.RegistrationPageObjectsTests","successTest","successTest()",""
"broken","Wed Jul 10 13:04:11 GMT 2024","Wed Jul 10 13:04:15 GMT 2024","3979","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Wed Jul 10 13:06:11 GMT 2024","Wed Jul 10 13:06:26 GMT 2024","14633","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"passed","Wed Jul 10 13:06:09 GMT 2024","Wed Jul 10 13:06:11 GMT 2024","2144","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Wed Jul 10 13:04:17 GMT 2024","Wed Jul 10 13:04:17 GMT 2024","225","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://selenide.org в результатах поискового запроса Selenide",""
"passed","Wed Jul 10 13:06:06 GMT 2024","Wed Jul 10 13:06:07 GMT 2024","1810","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [1] RU",""
